"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"201","Adam Humphries","TEN","wr","7","@DEN","6.9","0","0","0","0","0","0","0","0","0","0","4.2366","2.9787","29.427","0.1442","0.0221","0.011","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Jalen Guyton","LAC","wr","10","@CIN","6.9","3000","0","0","0","0","0","0","0","0","0","4.0813","2.4666","31.8561","0.1988","0.0258","0.0129","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Vance McDonald","PIT","te","8","@NYG","5.2","0","0","0","0","0","0","0","0","0","0","2.7277","2.0372","19.6403","0.1941","0.0328","0.0164","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Ian Thomas","CAR","te","13","LV","5.2","3400","0","0","0","0","0","0","0","0","0","2.8398","2.0485","21.0802","0.164","0.0185","0.0092","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Josh Gordon","SEA","wr","6","@ATL","6.8","0","0","0","0","0","0","0","0","0","0","3.4114","2.0961","33.0175","0.2162","0.0168","0.0084","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Logan Thomas","WAS","te","8","PHI","5.1","2800","0","0","0","0","0","0","0","0","0","2.8464","2.0172","19.2307","0.1834","0.0193","0.0097","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Giovani Bernard","CIN","rb","9","LAC","4.6","4400","0","0","0","0","0","0","2.2608","9.0237","0.069","2.1932","1.7489","12.7192","0.0349","0.0368","0.0184","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Artavis Pierce","CHI","rb","11","@DET","4.5","4000","0","0","0","0","0","0","5.614","22.7773","0.1511","0.8325","0.6708","5.0679","0.024","0.0553","0.0277","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Darren Fells","HST","te","8","@KC","4.9","0","0","0","0","0","0","0","0","0","0","2.557","1.8903","18.8302","0.1862","0.017","0.0085","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Benny Snell Jr.","PIT","rb","8","@NYG","4.4","0","0","0","0","0","0","0","4.8507","20.0587","0.1354","0.9888","0.7966","6.024","0.0194","0.0503","0.0252","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","Greg Ward","PHI","wr","9","@WAS","6.5","4200","0","0","0","0","0","0","0.0501","0.3304","0.0018","4.089","2.7832","26.8896","0.1417","0.0611","0.0305","0.0055","17.2328","0.0174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Trey Burton","IND","te","7","@JAX","4.8","3000","0","0","0","0","0","0","0","0","0","2.5022","1.7624","17.4575","0.2048","0.0195","0.0097","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","O.J. Howard","TB","te","13","@NO","4.8","3700","0","0","0","0","0","0","0","0","0","2.2892","1.5521","21.7519","0.1647","0.0175","0.0088","0.0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Dan Arnold","ARZ","te","8","@SF","4.8","3500","0","0","0","0","0","0","0","0","0","2.506","1.605","22.4607","0.1588","0.021","0.0105","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Jerick McKinnon","SF","rb","11","ARZ","4.3","4000","0","0","0","0","0","0","2.3584","9.7094","0.0766","1.7357","1.4232","10.9869","0.0517","0.0345","0.0172","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Laviska Shenault Jr.","JAX","wr","7","IND","6.4","4400","0","0","0","0","0","0","0.6772","4.9356","0.0289","3.4256","2.2183","25.8034","0.144","0.0265","0.0132","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
